date,ad,cci10,aroon10_up,aroon10_down,volume,bbands5_middle_band,macd,stoch_slowd,adx10,close,macd_hist,rsi10,macd_signal,high,bbands5_upper_band,bbands5_lower_band,sma10,open,low,stoch_slowk,obv,ema10
2019-08-20,-2986490615.9338,64.2670,30.0000,10.0000,21170800,135.8920,-0.0041,54.3219,18.4471,137.2600,-0.0737,55.2967,0.0696,138.7100,141.3939,130.3901,136.3810,138.2100,137.2400,76.9455,-1896205000.0000,136.7059
2019-08-21,-2985586563.0607,95.1217,100.0000,0.0000,14970300,136.8540,0.1409,74.0118,17.7847,138.7900,0.0570,56.4426,0.0839,139.4900,142.3747,131.3333,136.8570,138.5500,138.0000,87.3104,-1881234700.0000,137.0412
2019-08-22,-2985136760.5556,47.4919,90.0000,50.0000,18697000,137.6740,0.2616,80.5338,16.1926,137.7800,0.1422,56.8403,0.1194,139.2000,140.4734,134.8746,137.0630,138.6600,136.2900,77.3454,-1899931700.0000,137.3355
2019-08-23,-3015458001.8214,-76.2984,80.0000,40.0000,38508600,137.1260,0.2359,73.0298,16.8918,133.3900,0.0932,50.0543,0.1427,138.3500,142.9464,131.3055,136.9210,137.1900,132.8000,54.4337,-1938440300.0000,137.3090
2019-08-26,-2997837442.1594,-59.0066,70.0000,30.0000,20312600,136.5340,0.0376,56.4354,17.5211,135.4500,-0.0841,41.7631,0.1217,135.5600,142.2622,130.8058,136.7130,134.9900,133.9000,37.5271,-1918127700.0000,136.8874
2019-08-27,-2996715911.2226,-21.4010,60.0000,20.0000,23102100,136.2300,-0.0065,40.9177,17.0791,135.7400,-0.1025,47.8688,0.0961,136.7200,141.9015,130.5585,136.7470,136.3900,134.6600,30.7922,-1895025600.0000,136.7970
2019-08-28,-2982470683.9518,-55.6555,50.0000,10.0000,17393300,135.5840,-0.1614,36.8489,17.3771,135.5600,-0.2060,42.5257,0.0446,135.7600,139.7580,131.4100,136.5990,134.8800,133.5500,42.2275,-1912418900.0000,136.4484
2019-08-29,-2970738764.1691,57.8595,40.0000,0.0000,20168700,135.6520,-0.0919,44.4951,15.7562,138.1200,-0.1092,51.8905,0.0173,138.4400,140.1549,131.1491,136.8850,137.2500,136.9100,60.4658,-1892250200.0000,136.5942
2019-08-30,-2968517473.7807,45.9854,30.0000,50.0000,23940100,136.5460,0.1152,58.0094,14.8059,137.8600,0.0783,57.9882,0.0369,139.1800,140.1025,132.9895,137.3120,139.1500,136.2700,71.3351,-1916190300.0000,137.0589
2019-09-03,-2978832783.2465,-17.9096,20.0000,40.0000,18869300,136.6640,0.0735,67.8345,13.5025,136.0400,0.0293,48.8007,0.0442,137.2000,139.9537,133.3743,137.1880,136.6100,135.7000,71.7025,-1935059600.0000,136.9773
2019-09-04,-2962621518.0629,34.4195,10.0000,30.0000,17995900,137.0420,0.0950,69.1515,12.7098,137.6300,0.0407,51.1374,0.0544,137.6900,140.1531,133.9309,137.0970,137.3000,136.4800,64.4169,-1917063700.0000,137.0359
2019-09-05,-2947153775.6220,148.3522,100.0000,20.0000,26101800,137.9400,0.2552,68.6670,13.8008,140.0500,0.1607,56.8742,0.0945,140.3800,141.7812,134.0988,137.1530,139.1100,138.7600,69.8817,-1890961900.0000,137.4130
2019-09-06,-2949046678.5442,102.7709,90.0000,10.0000,20824500,138.1360,0.4512,71.2181,14.2593,139.1000,0.2853,59.5559,0.1659,140.1800,142.2315,134.0406,137.2900,140.0300,138.2000,79.3558,-1911786400.0000,137.8888
2019-09-09,-2958212477.1378,37.3027,80.0000,0.0000,25773900,138.0680,0.5645,72.4666,13.1626,137.5200,0.3189,57.6508,0.2456,139.7500,142.2246,133.9114,137.5300,139.5900,136.4600,68.1624,-1937560300.0000,138.1981
2019-09-10,-2948982720.3425,-76.5484,70.0000,20.0000,28903400,138.0760,0.4243,64.5377,12.9324,136.0800,0.1429,47.0479,0.2813,136.8900,142.1976,133.9545,137.7110,136.8000,134.5100,46.0950,-1966463700.0000,137.9439
2019-09-11,-2930543258.3567,-78.1051,60.0000,10.0000,24726100,137.7740,0.2386,48.4261,12.7252,136.1200,-0.0342,44.1687,0.2728,136.2700,142.5379,133.0101,137.6630,135.9100,135.0900,31.0209,-1941737600.0000,137.5741
2019-09-12,-2934899435.5092,5.5113,50.0000,0.0000,27010000,137.2680,0.2451,37.6231,12.1092,137.5200,-0.0221,51.3758,0.2672,138.4200,140.6120,133.9240,137.9600,137.8500,136.8700,35.7535,-1914727600.0000,137.6243
2019-09-13,-2934742482.0371,-10.7837,40.0000,70.0000,23363100,136.9120,0.2419,37.1626,11.3013,137.3200,-0.0203,51.1112,0.2622,138.0600,138.9134,134.9106,138.0130,137.7800,136.5700,44.7134,-1938090700.0000,137.6526
2019-09-16,-2930123270.6092,-70.7168,30.0000,60.0000,16013000,136.6740,0.0810,43.8512,10.5404,136.3300,-0.1449,44.0856,0.2259,136.7000,138.5287,134.8193,137.6810,135.8300,135.6600,51.0867,-1954103700.0000,137.3212
2019-09-17,-2919743703.9346,-19.8516,20.0000,50.0000,13611682,136.9360,0.0442,50.7381,9.8345,137.3900,-0.1454,48.6320,0.1896,137.5200,138.6995,135.1725,137.7160,136.9600,136.4250,56.4142,-1940492018.0000,137.2555
